NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
3,2,5,12,4,STEM,3000,4,80000,C;C#;Java;JavaScript;Python;R;Scala;SQL;VB.NET;HTML;CSS;Bash/Shell,SQL Server;MySQL;Apache Hive;Google BigQuery;Elasticsearch,AWS;Windows Desktop or Server,.NET Core;Hadoop;Spark,14,Male,White or of European descent,30,3
2,2,3,7,3,STEM,3000,4,92000,JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;Apache HBase,Linux;Windows Desktop or Server,Node.js;TensorFlow,8,Male,White or of European descent,30,3
1,2,2,7,2,STEM,3000,1,27050,JavaScript;PHP;SQL;VBA;VB.NET;HTML;CSS,SQL Server;MariaDB,Android;Windows Desktop or Server,Cordova,12,Male,White or of European descent,30,1
,1,1,6,3,STEM,15,7,98000,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,,8,Male,White or of European descent,40,3
1,1,1,6,3,STEM,15,1,75000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Heroku,Torch/PyTorch,12,Male,White or of European descent,21,2
1,5,1,12,1,STEM,5,7,100000,C;Erlang;Haskell;JavaScript;Objective-C;Ruby;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,PostgreSQL,AWS;Heroku;iOS;Linux;Mac OS,React,12,Male,White or of European descent,40,3
2,4,3,7,4,STEM,60,19,89000,C#;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;Elasticsearch,AWS;Azure;Windows Desktop or Server;WordPress,.NET Core;Node.js,12,Male,White or of European descent,30,3
2,3,3,8,2,NON-STEM,300,10,52000,C#;JavaScript;TypeScript;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,MySQL;MariaDB;Google Cloud Storage,Android;Google Cloud Platform/App Engine;Firebase,.NET Core;Node.js,12,Male,White or of European descent,30,2
2,2,4,9,3,STEM,20000,4,52000,Go;Groovy;Java;JavaScript;Ruby;Rust;Scala;SQL;Bash/Shell,Cassandra;MySQL;PostgreSQL;Apache Hive,Android;Linux,Hadoop;Spark,8,Male,White or of European descent,30,2
3,3,8,19,1,,300,13,135000,C;CoffeeScript;Erlang;Go;Groovy;Java;JavaScript;Perl;PHP;Python;R;Ruby;Scala;SQL;TypeScript;Kotlin;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Amazon RDS/Aurora;Elasticsearch,AWS;Linux;WordPress,Django;Node.js;React,14,Male,White or of European descent,30,4
